RADII
1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000,1000000.000000

X,Y,THETA
213505.215671,667341.826988,0.241918
2102210.114427,18064.984712,0.081717
3988962.002644,-632615.733236,0.412363
14936.512874,2649601.032607,0.025301
1954840.832788,2007917.808545,0.061109
3983455.952033,1365273.246905,0.114394
16203.362915,4643224.151985,0.132184
2011398.622791,4002417.821714,0.027050
3984285.460956,3361736.898913,0.069401
15714.539044,6638263.101086,0.055067
1988601.377209,5997582.178285,0.027880
3983796.637085,5356775.848015,0.117876
16544.047967,8634726.753094,0.122547
2045159.167212,7992082.191454,0.063515
3985063.487126,7350398.967392,0.031237
11037.997356,10632615.733235,0.412848
1897789.885573,9981935.015287,0.066352
3786494.784329,9332658.173012,0.242626
535513.344152,1176535.880232,0.399901
2235426.362000,38389.731856,0.093003
3984116.994015,-1026917.215596,1.139099
8441.330831,3079724.268607,0.037840
2299268.760324,2030595.526861,0.182470
3993862.867183,972754.178474,0.731563
61548.019406,5055513.662256,0.102892
2009940.113899,4003173.284282,0.220433
4020024.834293,2969111.358905,0.336365
-20024.834293,7030888.641093,0.350066
1990059.886101,5996826.715716,0.235606
3938451.980594,4944486.337742,0.100937
6137.132817,9027245.821524,0.662439
1700731.239676,7969404.473137,0.127696
3991558.669169,6920275.731391,0.035462
15883.005985,11026917.215594,1.140698
1764573.638000,9961610.268143,0.079700
3464486.655848,8823464.119767,0.412134
694682.395948,1577413.981197,0.578125
2236652.631037,119021.558182,-0.249126
3982971.679917,-1116945.260632,2.225287
-39549.359316,3354519.141577,0.019818
2469586.494954,2082595.192230,0.086806
4040451.287422,882178.518165,1.253713
331879.827593,5250273.812464,-0.060054
1849462.688934,3969347.374080,0.403679
4138123.970961,2877502.488244,0.582628
-138123.970961,7122497.511754,0.748024
2150537.311066,6030652.625918,0.578316
3668120.172407,4749726.187534,0.056108
-40451.287422,9117821.481833,1.303782
1530413.505046,7917404.807768,-0.094931
4039549.359316,6645480.858421,-0.113041
17028.320083,11116945.260630,2.215987
1763347.368963,9880978.441816,-0.287455
3305317.604052,8422586.018800,0.715242
1164102.912577,1711289.412470,0.495788
2276539.217268,148591.460792,0.058930
4043468.047583,-2269173.439298,2.709382
31222.952094,3312330.848833,0.472457
3607320.843721,1597283.969261,-0.840809
4102997.639684,-316951.161665,1.543079
1023195.495905,4930627.561597,-0.774379
2147425.443447,3322682.103580,1.034410
4087793.916716,3486921.290696,1.637270
-87793.916716,6513078.709302,1.736311
1852574.556553,6677317.896418,1.132995
2976804.504095,5069372.438401,-0.743682
-102997.639684,10316951.161662,1.599073
392679.156279,8402716.030737,-0.906212
3968777.047906,6687669.151165,0.431504
-43468.047583,12269173.439296,2.628652
1723460.782732,9851408.539206,0.010994
2835897.087423,8288710.587528,0.610689
2343763.955861,2114664.424322,0.257513
2364875.035278,168113.299757,-0.053459
4067758.200807,-2794992.503820,3.250149
683706.084894,3115674.437511,0.820477
4054974.687108,1136851.404806,-0.645766
4028560.113365,-842855.840001,1.769437
-43186.431865,4921465.459411,-0.237161
2354628.065963,4094029.749162,0.499788
4045858.822733,3105145.992347,2.293328
-45858.822733,6894854.007651,2.383729
1645371.934037,5905970.250835,0.766314
4043186.431865,5078534.540587,-0.113313
-28560.113365,10842855.839999,1.850158
-54974.687108,8863148.595192,-0.836414
3316293.915106,6884325.562486,0.700970
-67758.200807,12794992.503818,3.179297
1635124.964722,9831886.700241,-0.035875
1656236.044139,7885335.575676,0.283218
